country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
India,1909,IND,294397607.0,335358000000.0,,,24.142,-0.766,-3.074,120.096,-1.619,-1.33,0.408,0.358,,0.082,0.072,,20.669,0.07,,,,,281.363,4740.571,247.315,,0.0,6974.363,34.048,,,,,,0.0,0.0,0.295,1.278,95.954,0.326,238.225,0.809,44.97,0.153,3.473,0.012,,,,,0.83,1.519,0.754,,0.418,1.694,0.379,,0.0,3.213,1.956,,,0.0,1.919,2.585,,3.807,0.004,0.002,0.007,0.001,376.366,86.833,,
India,1910,IND,295496971.0,335633100000.0,,,23.487,-0.655,-2.714,122.906,2.81,2.34,0.416,0.366,,0.079,0.07,,20.977,0.071,,,,,304.85,4863.477,268.292,,0.0,7073.782,36.558,,,,,,0.0,0.0,0.292,1.279,99.419,0.336,237.088,0.802,45.124,0.153,2.51,0.008,,,,,0.77,1.566,0.73,,0.433,1.69,0.394,,0.0,3.188,1.94,,,0.0,2.072,1.742,,3.752,0.004,0.002,0.007,0.001,377.831,86.219,,
India,1911,IND,296313651.0,333713100000.0,,,24.782,1.295,5.514,126.199,3.292,2.679,0.426,0.378,,0.084,0.074,,22.144,0.075,,,,,329.632,4989.675,290.436,,0.0,7175.199,39.196,,,,,,0.0,0.0,0.297,1.285,101.417,0.342,237.745,0.802,45.258,0.153,2.638,0.009,,,,,0.8,1.605,0.761,,0.448,1.688,0.409,,0.0,3.166,1.924,,,0.0,2.128,1.726,,3.699,0.004,0.002,0.007,0.001,380.905,87.929,,
India,1912,IND,296845891.0,333133200000.0,,,28.521,3.739,15.087,129.278,3.08,2.44,0.436,0.388,,0.096,0.086,,25.608,0.086,,,,,358.153,5118.954,316.044,,0.0,7275.956,42.109,,,,,,0.0,0.0,0.311,1.297,100.757,0.339,238.787,0.804,45.38,0.153,2.913,0.01,,,,,0.877,1.632,0.837,,0.467,1.687,0.427,,0.0,3.146,1.919,,,0.0,2.159,1.853,,3.65,0.004,0.002,0.007,0.001,385.047,92.467,,
India,1913,IND,297091925.0,325870100000.0,,,31.466,2.945,10.327,132.71,3.432,2.655,0.447,0.407,,0.106,0.097,,28.224,0.095,,,,,389.619,5251.665,344.268,,0.0,7377.2,45.351,,,,,,0.0,0.0,0.323,1.314,101.244,0.341,239.671,0.807,45.492,0.153,3.243,0.011,,,,,0.893,1.629,0.855,,0.485,1.685,0.445,,0.0,3.127,1.908,,,0.0,2.191,1.782,,3.601,0.004,0.002,0.007,0.001,390.341,96.051,,
India,1914,IND,297338132.0,343520000000.0,,,31.698,0.231,0.735,132.342,-0.368,-0.277,0.445,0.385,,0.107,0.092,,28.671,0.096,,,,,421.317,5384.006,372.939,,0.0,7477.844,48.378,,,,,,0.0,0.0,0.325,1.313,100.644,0.338,240.123,0.808,45.598,0.153,3.027,0.01,,,,,0.991,1.691,0.965,,0.505,1.685,0.464,,0.0,3.109,1.888,,,0.0,2.175,1.627,,3.56,0.004,0.002,0.007,0.001,390.55,96.487,,
India,1915,IND,297584511.0,334924200000.0,,,33.141,1.444,4.554,134.976,2.634,1.99,0.454,0.403,,0.111,0.099,,29.785,0.1,,,,,454.458,5518.982,402.724,,0.0,7579.679,51.734,,,,,,0.0,0.0,0.33,1.322,101.835,0.342,240.714,0.809,45.7,0.154,3.356,0.011,,,,,1.053,1.753,1.024,,0.525,1.687,0.484,,0.0,3.092,1.874,,,0.0,2.236,1.699,,3.522,0.004,0.002,0.007,0.001,393.485,98.274,,
India,1916,IND,297831063.0,344694000000.0,,,33.517,0.376,1.134,134.804,-0.173,-0.128,0.453,0.391,,0.113,0.097,,30.044,0.101,,,,,487.975,5653.786,432.767,,0.0,7680.966,55.207,,,,,,0.0,0.0,0.332,1.328,101.287,0.34,241.141,0.81,45.802,0.154,3.473,0.012,,,,,0.986,1.697,0.958,,0.542,1.687,0.501,,0.0,3.077,1.855,,,0.0,2.23,1.614,,3.483,0.004,0.002,0.007,0.001,395.529,98.828,,
India,1917,IND,298077789.0,338632800000.0,,,35.019,1.502,4.482,135.854,1.05,0.779,0.456,0.401,,0.117,0.103,,31.714,0.106,,,,,522.994,5789.64,464.482,,0.0,7781.8,58.512,,,,,,0.0,0.0,0.338,1.344,100.835,0.338,241.825,0.811,45.905,0.154,3.305,0.011,,,,,0.985,1.695,0.971,,0.559,1.687,0.518,,0.0,3.062,1.82,,,0.0,2.261,1.381,,3.446,0.004,0.002,0.007,0.001,400.53,100.765,,
India,1918,IND,298421342.0,295336800000.0,,,39.359,4.339,12.392,140.148,4.295,3.161,0.47,0.475,,0.132,0.133,,36.087,0.121,,,,,562.353,5929.789,500.569,,0.0,7882.59,61.784,,,,,,0.0,0.0,0.355,1.355,100.79,0.338,243.03,0.814,46.013,0.154,3.272,0.011,,,,,1.123,1.769,1.122,,0.579,1.689,0.539,,0.0,3.049,1.786,,,0.0,2.282,1.335,,3.413,0.004,0.002,0.007,0.001,404.259,106.06,,
India,1919,IND,299273541.0,335830000000.0,,,42.974,3.615,9.186,144.024,3.875,2.765,0.481,0.429,,0.144,0.128,,39.402,0.132,,,,,605.327,6073.812,539.971,,0.0,7983.64,65.356,,,,,,0.0,0.0,0.369,1.368,101.05,0.338,244.039,0.815,46.128,0.154,3.572,0.012,,,,,1.413,1.939,1.449,,0.605,1.694,0.565,,0.0,3.037,1.751,,,0.0,2.304,1.307,,3.389,0.004,0.002,0.007,0.001,409.341,110.435,,
India,1920,IND,300639878.0,309267200000.0,,,34.867,-8.107,-18.864,290.826,146.802,101.929,0.967,0.94,,0.116,0.113,,31.277,0.104,,,,,640.194,6364.638,571.247,,0.0,8239.599,68.947,,,,,,0.0,0.0,0.336,1.583,255.959,0.851,242.867,0.808,46.253,0.154,3.591,0.012,,,,,0.983,3.494,0.998,,0.617,1.735,0.579,,0.0,3.078,1.684,,,0.0,5.358,0.995,,3.37,0.004,0.003,0.008,0.001,475.91,100.906,,
India,1921,IND,302525896.0,332498600000.0,,,37.505,2.638,7.564,357.897,67.071,23.062,1.183,1.076,,0.124,0.113,,33.614,0.111,,,,,677.699,6722.536,604.861,,0.0,8559.991,72.838,,,,,,0.0,0.0,0.345,1.702,320.392,1.059,245.727,0.812,46.398,0.153,3.891,0.013,,,,,1.204,4.418,1.258,,0.635,1.793,0.596,,0.0,3.139,1.622,,,0.0,6.426,0.979,,3.365,0.004,0.003,0.008,0.001,514.973,104.459,,
India,1922,IND,304937193.0,346716800000.0,,,36.903,-0.602,-1.605,394.731,36.834,10.292,1.294,1.138,,0.121,0.106,,33.104,0.109,,,,,714.602,7117.267,637.965,,0.0,8917.819,76.637,,,,,,0.0,0.0,0.342,1.765,357.828,1.173,248.148,0.814,46.567,0.153,3.799,0.012,,,,,1.13,4.744,1.194,,0.649,1.857,0.612,,0.0,3.211,1.555,,,0.0,7.076,0.867,,3.365,0.004,0.003,0.008,0.001,538.088,104.33,,
India,1923,IND,307879422.0,335552000000.0,,,37.971,1.069,2.895,418.09,23.359,5.918,1.358,1.246,,0.123,0.113,,34.23,0.111,,,,,752.573,7535.356,672.195,,0.0,9297.938,80.378,,,,,,0.0,0.0,0.345,1.794,380.119,1.235,250.887,0.815,46.752,0.152,3.741,0.012,,,,,1.025,4.713,1.087,,0.662,1.922,0.626,,0.0,3.287,1.484,,,0.0,7.355,0.77,,3.366,0.004,0.003,0.008,0.001,552.183,106.19,,
India,1924,IND,310850039.0,351853700000.0,,,40.627,2.656,6.995,437.489,19.399,4.64,1.407,1.243,,0.131,0.115,,36.879,0.119,,,,,793.201,7972.845,709.074,,0.0,9694.799,84.127,,,,,,0.0,0.0,0.354,1.823,396.861,1.277,253.91,0.817,46.947,0.151,3.749,0.012,,,,,1.093,4.955,1.169,,0.675,1.989,0.642,,0.0,3.366,1.426,,,0.0,7.76,0.774,,3.372,0.004,0.003,0.008,0.001,566.635,109.921,,
India,1925,IND,313849318.0,356048700000.0,,,40.084,-0.543,-1.337,451.342,13.853,3.167,1.438,1.268,,0.128,0.113,,36.399,0.116,,,,,833.285,8424.187,745.472,,0.0,10106.057,87.813,,,,,,0.0,0.0,0.35,1.842,411.258,1.31,256.344,0.817,47.146,0.15,3.686,0.012,,,,,1.072,5.021,1.154,,0.687,2.055,0.656,,0.0,3.446,1.371,,,0.0,7.835,0.729,,3.381,0.004,0.003,0.008,0.001,578.029,109.863,,
India,1926,IND,316877536.0,367478400000.0,,,39.942,-0.142,-0.355,460.24,8.898,1.971,1.452,1.252,,0.126,0.109,,36.567,0.115,,,,,873.227,8884.427,782.04,,0.0,10526.354,91.187,,,,,,0.0,0.0,0.348,1.848,420.298,1.326,258.894,0.817,47.342,0.149,3.375,0.011,,,,,1.086,5.146,1.186,,0.699,2.121,0.67,,0.0,3.526,1.319,,,0.0,7.981,0.666,,3.393,0.004,0.003,0.009,0.001,585.488,110.324,,
India,1927,IND,319934973.0,367200000000.0,,,41.883,1.941,4.86,472.007,11.767,2.557,1.475,1.285,,0.131,0.114,,38.454,0.12,,,,,915.11,9356.435,820.493,,0.0,10956.479,94.617,,,,,,0.0,0.0,0.354,1.865,430.124,1.344,261.777,0.818,47.528,0.149,3.43,0.011,,,,,1.044,5.084,1.143,,0.71,2.185,0.683,,0.0,3.607,1.267,,,0.0,8.16,0.619,,3.407,0.004,0.003,0.009,0.001,596.64,113.201,,
India,1928,IND,323021910.0,370912500000.0,0.289,0.001,40.072,-1.811,-4.324,476.226,4.219,0.894,1.474,1.284,,0.124,0.108,,39.256,0.122,,,,0.289,955.182,9832.66,859.749,,0.0,11392.632,95.144,,,,,,0.0,0.0,0.347,1.86,436.153,1.35,264.355,0.818,47.699,0.148,0.528,0.002,,,,0.812,1.003,5.108,1.187,0.112,0.719,2.248,0.697,,0.0,3.685,1.184,,,0.0,8.188,0.093,,3.422,0.004,0.004,0.009,0.001,600.923,112.022,,
India,1929,IND,326429031.0,386396000000.0,0.293,0.001,41.707,1.635,4.08,486.985,10.759,2.259,1.492,1.26,,0.128,0.108,,40.781,0.125,,,,0.581,996.89,10319.645,900.53,,0.0,11837.91,95.778,,,,,,0.0,0.0,0.351,1.875,445.278,1.364,267.185,0.819,47.846,0.147,0.634,0.002,,,,0.793,0.973,5.036,1.157,0.197,0.727,2.308,0.709,,0.0,3.764,1.107,,,0.0,8.273,0.102,,3.438,0.004,0.004,0.009,0.001,612.009,114.543,,
India,1930,IND,330163509.0,389214800000.0,0.293,0.001,42.399,0.692,1.658,498.895,11.91,2.446,1.511,1.282,,0.128,0.109,,41.45,0.126,,,,0.874,1039.288,10818.54,941.98,,0.0,12294.406,96.434,,,,,,0.0,0.0,0.351,1.883,456.497,1.383,269.84,0.817,47.965,0.145,0.656,0.002,,,,0.823,1.071,5.31,1.289,0.264,0.736,2.37,0.724,,0.0,3.843,1.042,,,0.0,8.394,0.109,,3.46,0.005,0.004,0.01,0.001,621.579,115.948,,
India,1931,IND,334232641.0,386353000000.0,0.3,0.001,38.85,-3.548,-8.369,499.268,0.372,0.075,1.494,1.292,,0.116,0.101,,37.814,0.113,,,,1.174,1078.139,11317.808,979.794,,0.0,12754.824,97.171,,,,,,0.0,0.0,0.337,1.864,460.417,1.378,272.854,0.816,48.068,0.144,0.736,0.002,,,,0.971,1.098,5.508,1.335,0.325,0.745,2.431,0.737,,0.0,3.919,0.988,,,0.0,8.334,0.127,,3.484,0.005,0.004,0.01,0.001,622.9,112.535,,
India,1932,IND,338643856.0,390754000000.0,0.304,0.001,36.129,-2.722,-7.005,499.725,0.457,0.092,1.476,1.279,,0.107,0.092,,35.092,0.104,,,,1.478,1114.268,11817.533,1014.887,,0.0,13218.42,97.903,,,,,,0.0,0.0,0.325,1.849,463.596,1.369,276.041,0.815,48.172,0.142,0.733,0.002,,,,1.23,1.132,5.706,1.391,0.383,0.753,2.491,0.749,,0.0,3.993,0.942,,,0.0,8.33,0.132,,3.512,0.005,0.004,0.01,0.001,626.222,110.131,,
India,1933,IND,343404711.0,391381200000.0,0.319,0.001,35.467,-0.662,-1.833,504.866,5.141,1.029,1.47,1.29,,0.103,0.091,,34.459,0.1,,,,1.797,1149.734,12322.399,1049.346,,0.0,13687.819,98.592,,,,,,0.0,0.0,0.321,1.853,469.399,1.367,279.627,0.814,48.278,0.141,0.689,0.002,,,,1.337,1.055,5.683,1.306,0.438,0.76,2.55,0.76,,0.0,4.067,0.896,,,0.0,8.502,0.113,,3.541,0.005,0.004,0.01,0.001,636.313,110.196,,
India,1934,IND,348232496.0,395071600000.0,0.39,0.001,39.61,4.144,11.683,511.169,6.303,1.248,1.468,1.294,,0.114,0.1,,38.411,0.11,,,,2.187,1189.345,12833.567,1087.756,,0.0,14159.377,99.402,,,,,,0.0,0.0,0.333,1.855,471.558,1.354,284.089,0.816,48.388,0.139,0.81,0.002,,,,1.368,1.083,5.538,1.333,0.499,0.768,2.606,0.771,,0.0,4.139,0.854,,,0.0,8.459,0.126,,3.568,0.005,0.004,0.011,0.001,645.964,115.949,,
India,1935,IND,353128154.0,390890400000.0,0.454,0.001,41.393,1.782,4.499,515.303,4.134,0.809,1.459,1.318,,0.117,0.106,,40.081,0.114,,,,2.641,1230.737,13348.871,1127.837,,0.0,14633.289,100.259,,,,,,0.0,0.0,0.337,1.851,473.911,1.342,288.116,0.816,48.501,0.137,0.857,0.002,,,,1.416,1.079,5.513,1.337,0.561,0.775,2.66,0.783,,0.0,4.209,0.813,,,0.0,8.599,0.124,,3.595,0.005,0.004,0.011,0.001,653.554,118.912,,
India,1936,IND,358092638.0,406292700000.0,0.499,0.001,40.684,-0.709,-1.712,517.953,2.65,0.514,1.446,1.275,,0.114,0.1,,39.375,0.11,,,,3.14,1271.421,13866.823,1167.213,,0.0,15110.558,101.069,,,,,,0.0,0.0,0.332,1.845,477.269,1.333,293.403,0.819,48.617,0.136,0.81,0.002,,,,1.288,0.967,5.257,1.198,0.617,0.78,2.71,0.792,,0.0,4.277,0.772,,,0.0,8.455,0.107,,3.622,0.005,0.005,0.011,0.001,660.826,118.936,,
India,1937,IND,363126915.0,399830200000.0,0.581,0.002,45.067,4.383,10.773,526.926,8.973,1.732,1.451,1.318,,0.124,0.113,,43.598,0.12,,,,3.721,1316.488,14393.751,1210.811,,0.0,15592.417,101.956,,,,,,0.0,0.0,0.344,1.858,481.86,1.327,299.684,0.825,48.738,0.134,0.887,0.002,,,,1.425,1.002,5.205,1.258,0.676,0.786,2.759,0.803,,0.0,4.344,0.732,,,0.0,8.565,0.105,,3.65,0.005,0.005,0.012,0.001,674.77,125.002,,
India,1938,IND,368231967.0,400546500000.0,0.0,0.0,50.379,5.312,11.788,533.163,6.236,1.184,1.448,1.331,,0.137,0.126,,49.357,0.134,,,,3.721,1366.867,14926.913,1260.168,,0.0,16075.201,102.978,,,,,,0.0,0.0,0.359,1.868,482.784,1.311,306.301,0.832,48.864,0.133,1.022,0.003,,,,0.0,1.191,5.388,1.528,0.632,0.796,2.808,0.818,,0.0,4.409,0.698,,,0.0,8.521,0.124,,3.682,0.006,0.005,0.012,0.002,687.985,132.289,,
India,1939,IND,371781679.0,409623600000.0,0.0,0.0,49.311,-1.067,-2.119,535.614,2.451,0.46,1.441,1.308,,0.133,0.12,,48.359,0.13,,,,3.721,1416.178,15462.527,1308.526,,0.0,16561.504,103.931,,,,,,0.0,0.0,0.355,1.867,486.302,1.308,311.669,0.838,48.995,0.132,0.953,0.003,,,,0.0,1.103,5.3,1.408,0.596,0.804,2.854,0.831,,0.0,4.474,0.666,,,0.0,8.629,0.111,,3.712,0.006,0.005,0.012,0.002,694.298,131.901,,
India,1940,IND,373766276.0,422772400000.0,0.0,0.0,52.309,2.997,6.078,543.609,7.995,1.493,1.454,1.286,,0.14,0.124,,51.176,0.137,,,,3.721,1468.487,16006.136,1359.703,,0.0,17052.805,105.063,,,,,,0.0,0.0,0.365,1.89,491.3,1.314,317.822,0.85,49.133,0.131,1.132,0.003,,,,0.0,1.071,5.115,1.348,0.568,0.811,2.898,0.843,,0.0,4.536,0.636,,,0.0,8.554,0.126,,3.744,0.006,0.005,0.013,0.002,706.513,136.315,,
India,1941,IND,374175756.0,431261700000.0,1.084,0.003,53.58,1.272,2.431,549.157,5.548,1.021,1.468,1.273,,0.143,0.124,,51.309,0.137,,,,4.805,1522.067,16555.293,1411.012,,0.0,17548.381,106.25,,,,,,0.0,0.0,0.37,1.907,495.576,1.324,322.5,0.862,49.413,0.132,1.187,0.003,,,,2.504,1.072,5.043,1.32,0.687,0.818,2.939,0.855,,0.0,4.596,0.61,,,0.0,8.412,0.13,,3.772,0.006,0.005,0.013,0.002,713.381,138.457,,
India,1942,IND,372999886.0,428796600000.0,1.133,0.003,53.529,-0.052,-0.096,551.131,1.975,0.36,1.478,1.285,,0.144,0.125,,51.253,0.137,,,,5.938,1575.595,17106.424,1462.265,,0.0,18045.982,107.393,,,,,,0.0,0.0,0.373,1.934,497.603,1.334,327.172,0.877,49.939,0.134,1.143,0.003,,,,2.952,1.074,5.062,1.311,0.805,0.825,2.979,0.865,,0.0,4.654,0.587,,,0.0,8.426,0.132,,3.802,0.006,0.006,0.013,0.002,721.478,139.279,,
India,1943,IND,370228201.0,446201700000.0,1.095,0.003,46.644,-6.885,-12.862,546.931,-4.2,-0.762,1.477,1.226,,0.126,0.105,,44.427,0.12,,,,7.033,1622.239,17653.354,1506.692,,0.0,18546.27,108.514,,,,,,0.0,0.0,0.357,1.949,500.287,1.351,330.585,0.893,50.655,0.137,1.121,0.003,,,,3.15,0.919,4.986,1.131,0.911,0.827,3.017,0.871,,0.0,4.711,0.565,,,0.0,8.488,0.121,,3.83,0.006,0.006,0.014,0.002,721.589,132.009,,
India,1944,IND,367477113.0,441698400000.0,1.058,0.003,47.695,1.052,2.254,554.043,7.112,1.3,1.508,1.254,,0.13,0.108,,45.498,0.124,,,,8.091,1669.934,18207.398,1552.19,,0.0,19052.617,109.654,,,,,,0.0,0.0,0.365,1.996,506.348,1.378,335.544,0.913,51.508,0.14,1.14,0.003,,,,4.667,0.924,5.042,1.176,1.018,0.83,3.054,0.878,,0.0,4.769,0.541,,,0.0,8.691,0.107,,3.858,0.007,0.006,0.014,0.002,733.396,134.215,,
India,1945,IND,364746467.0,434203200000.0,1.11,0.003,52.873,5.178,10.856,557.169,3.126,0.564,1.528,1.283,,0.145,0.122,,50.792,0.139,,,,9.201,1722.808,18764.566,1602.981,,0.0,19556.914,110.625,,,,,,0.0,0.0,0.385,2.042,504.296,1.383,340.578,0.934,52.445,0.144,0.971,0.003,,,,4.83,1.233,5.488,1.693,1.125,0.838,3.095,0.891,,0.0,4.825,0.519,,,0.0,8.601,0.093,,3.892,0.007,0.006,0.015,0.002,744.64,140.607,,
India,1946,IND,362036112.0,411463200000.0,1.005,0.003,52.224,-0.649,-1.228,558.43,1.261,0.226,1.542,1.357,,0.144,0.127,,50.321,0.139,,,,10.206,1775.032,19322.996,1653.303,,0.0,20063.121,111.523,,,,,,0.0,0.0,0.387,2.07,506.206,1.398,344.546,0.952,53.412,0.148,0.898,0.002,,,,2.769,1.133,5.351,1.555,1.195,0.845,3.133,0.903,,0.0,4.88,0.497,,,0.0,8.686,0.081,,3.922,0.007,0.006,0.015,0.002,749.585,140.082,,
India,1947,IND,359345897.0,340810000000.0,0.75,0.002,53.179,0.955,1.829,563.719,5.288,0.947,1.569,1.654,,0.148,0.156,,51.667,0.144,,,,10.957,1828.211,19886.717,1704.97,,0.0,20573.658,112.285,,,,,,0.0,0.0,0.377,2.097,510.539,1.421,342.952,0.954,54.354,0.151,0.762,0.002,,,,1.739,1.03,5.151,1.426,1.221,0.849,3.168,0.913,,0.0,4.934,0.474,,,0.0,8.836,0.061,,3.946,0.007,0.006,0.015,0.002,753.66,135.567,,
India,1948,IND,356675672.0,344050000000.0,0.806,0.002,53.203,0.024,0.045,562.684,-1.034,-0.183,1.578,1.635,,0.149,0.155,,51.627,0.145,,,,11.763,1881.414,20449.4,1756.597,,0.0,21083.141,113.054,,,,,,0.0,0.0,0.381,2.128,509.481,1.428,347.066,0.973,55.218,0.155,0.769,0.002,,,,1.562,0.977,5.036,1.38,1.24,0.852,3.201,0.922,,0.0,4.988,0.451,,,0.0,8.9,0.056,,3.969,0.007,0.006,0.016,0.002,758.909,135.789,,
India,1949,IND,355893489.0,353225000000.0,1.088,0.003,56.187,2.984,5.608,565.456,2.772,0.493,1.589,1.601,,0.158,0.159,,54.322,0.153,,,,12.851,1937.601,21014.857,1810.92,,0.0,21592.41,113.831,,,,,,0.0,0.0,0.392,2.16,509.27,1.431,351.8,0.988,55.95,0.157,0.777,0.002,,,,1.869,1.08,5.194,1.531,1.276,0.857,3.234,0.934,,0.0,5.041,0.432,,,0.0,8.961,0.06,,3.993,0.008,0.007,0.016,0.002,768.802,139.544,,
India,1950,IND,346278818.0,354333000000.0,1.354,0.004,60.943,4.756,8.464,696.349,130.892,23.148,2.011,1.965,,0.176,0.172,,52.4,0.151,,,,14.205,1998.544,21711.207,1863.319,,,22227.816,121.02,,,,,,,,0.417,2.418,635.406,1.835,355.916,1.028,56.496,0.163,7.189,0.021,,,,2.024,1.028,5.533,1.351,1.323,0.862,3.278,0.942,,,5.11,0.434,,,,9.549,0.463,,4.016,0.008,0.007,0.017,0.002,837.249,144.396,,
India,1951,IND,353870058.0,362445000000.0,1.658,0.005,63.806,2.863,4.698,739.562,43.214,6.206,2.09,2.04,,0.18,0.176,,54.296,0.153,,,,15.863,2062.35,22450.768,1917.615,,,22903.572,128.872,,,,,,,,0.419,2.46,675.757,1.91,363.078,1.026,56.964,0.161,7.852,0.022,,,,2.188,1.0,5.446,1.329,1.38,0.866,3.322,0.95,,,5.179,0.435,,,,9.389,0.456,,4.036,0.008,0.007,0.017,0.002,870.604,148.214,,
India,1952,IND,361874906.0,373116000000.0,1.834,0.005,67.249,3.444,5.397,768.911,29.348,3.968,2.125,2.061,,0.186,0.18,,57.853,0.16,,,,17.697,2129.599,23219.68,1975.468,,,23605.234,136.434,,,,,,,,0.423,2.475,701.661,1.939,370.932,1.025,57.486,0.159,7.562,0.021,,,,2.271,1.04,5.605,1.436,1.438,0.87,3.367,0.959,,,5.252,0.434,,,,9.676,0.416,,4.057,0.008,0.007,0.017,0.002,895.786,152.988,,
India,1953,IND,370104570.0,396813000000.0,1.958,0.005,68.608,1.358,2.02,785.623,16.712,2.174,2.123,1.98,,0.185,0.173,,58.97,0.159,,,,19.655,2198.207,24005.303,2034.438,,,24322.248,144.114,,,,,,,,0.419,2.465,717.015,1.937,378.66,1.023,58.053,0.157,7.68,0.021,,,,2.187,1.032,5.598,1.452,1.489,0.874,3.412,0.969,,,5.324,0.432,,,,9.711,0.396,,4.078,0.009,0.007,0.018,0.002,912.314,155.254,,
India,1954,IND,378687141.0,413406000000.0,2.281,0.006,72.307,3.699,5.391,804.328,18.705,2.381,2.124,1.946,,0.191,0.175,,60.485,0.16,,,,21.935,2270.513,24809.629,2094.922,,,25054.271,153.655,,,,,,,,0.423,2.467,732.021,1.933,386.887,1.022,58.653,0.155,9.541,0.025,,,,2.348,1.065,5.51,1.492,1.548,0.879,3.454,0.979,,,5.392,0.434,,,,9.377,0.464,,4.098,0.009,0.008,0.018,0.002,934.075,160.075,,
India,1955,IND,387700892.0,423654000000.0,2.326,0.006,78.694,6.387,8.834,817.186,12.858,1.599,2.108,1.929,,0.203,0.186,,63.618,0.164,,,,24.261,2349.207,25626.814,2158.54,,,25792.762,166.406,,,,,,,,0.433,2.464,738.492,1.905,395.799,1.021,59.275,0.153,12.751,0.033,,,,2.165,1.057,5.293,1.45,1.591,0.884,3.493,0.988,,,5.457,0.441,,,,9.238,0.554,,4.114,0.009,0.008,0.019,0.002,955.255,167.989,,
India,1956,IND,396988905.0,447917000000.0,2.554,0.006,81.619,2.925,3.717,830.757,13.572,1.661,2.093,1.855,,0.206,0.182,,65.119,0.164,,,,26.815,2430.826,26457.57,2223.659,,,26541.902,180.351,,,,,,,,0.433,2.459,749.138,1.887,404.641,1.019,59.908,0.151,13.945,0.035,,,,2.193,1.03,5.196,1.413,1.634,0.889,3.529,0.997,,,5.522,0.448,,,,9.294,0.558,,4.13,0.009,0.008,0.019,0.002,976.05,172.087,,
India,1957,IND,406253895.0,443356000000.0,2.903,0.007,91.618,9.999,12.251,848.053,17.296,2.082,2.087,1.913,,0.226,0.207,,72.821,0.179,,,,29.719,2522.444,27305.625,2296.48,,,27298.336,196.245,,,,,,,,0.454,2.462,756.436,1.862,415.037,1.022,60.541,0.149,15.894,0.039,,,,2.371,1.119,5.15,1.552,1.685,0.895,3.564,1.008,,,5.583,0.458,,,,9.136,0.608,,4.145,0.01,0.008,0.02,0.002,1000.039,184.516,,
India,1958,IND,415777436.0,476938000000.0,3.154,0.008,95.801,4.184,4.566,862.853,14.8,1.745,2.075,1.809,,0.23,0.201,,75.804,0.182,,,,32.873,2618.245,28168.479,2372.284,,,28065.389,213.088,,,,,,,,0.458,2.452,767.052,1.845,424.847,1.022,61.164,0.147,16.843,0.041,,,,2.432,1.138,5.189,1.592,1.736,0.902,3.599,1.02,,,5.645,0.468,,,,9.34,0.619,,4.159,0.01,0.009,0.021,0.002,1019.531,190.228,,
India,1959,IND,425780669.0,486918000000.0,3.537,0.008,101.436,5.635,5.882,874.842,11.989,1.389,2.055,1.797,,0.238,0.208,,79.513,0.187,,,,36.41,2719.681,29043.32,2451.797,,,28838.795,231.474,,,,,,,,0.464,2.451,773.406,1.816,435.099,1.022,61.764,0.145,18.386,0.043,,,,2.435,1.146,4.985,1.605,1.786,0.91,3.629,1.032,,,5.701,0.478,,,,8.897,0.635,,4.17,0.01,0.009,0.021,0.002,1043.473,197.493,,
India,1960,IND,435990342.0,520800000000.0,4.002,0.009,111.32,9.884,9.744,581.361,-293.481,-33.547,1.333,1.116,,0.255,0.214,,87.873,0.202,,,,40.412,2831.001,29624.682,2539.669,,,29308.836,250.919,,,,,,,,0.481,2.102,470.041,1.078,446.585,1.024,62.331,0.143,19.445,0.045,,,,2.543,1.186,3.42,1.704,1.84,0.918,3.625,1.047,,,5.708,0.486,,,,6.176,0.623,,4.172,0.01,0.009,0.022,0.002,916.659,209.872,,
